,RawScore,ScoreAfterProp
AIM2,0.0115973760405829,0.01572638985619448
GRIP1,0.0234275961750909,0.02270536950972382
ARHGEF9,0.0160234926379451,0.01943388507273278
RPS6KC1,0.0189848335473802,0.009636050126972323
SARAF,0.0063776870248232,0.0034573194224909298
NUTM1,0.024562162972133,0.008866095131271018
CCDC181,0.0146856941316427,0.004784702880364492
ZSWIM2,0.026605807889272,0.011434243158713619
AHCY,0.0088931826341985,0.01700183124887976
RAB4A,0.0047510964945241,0.025325054119540395
UROC1,0.0205607361765647,0.010692297706434756
OCA2,0.0324663641554033,0.012435043976458747
FEZF2,0.0086038469286992,0.003969933047193815
UBE4A,0.0140488123084216,0.010849138101453507
OR5AK2,0.0074463203356521,0.008305750757488514
DOLK,0.0074196362236364,0.006703879373054933
ELMO2,0.0111151213063118,0.013151447688504209
ALPK2,0.0477008193254258,0.015215639220217805
TTF2,0.0151332932266325,0.013940072958411664
SIGLEC10,0.0225082971897555,0.00948818413189097
NISCH,0.0241709844580039,0.012513408493785422
LHFPL4,0.0087044846658508,0.005296754463497769
SLC7A10,0.0082535839378781,0.011414842582668708
C5orf42,0.0324142393963892,0.010634396738233997
GDAP1,0.0087170637063154,0.004544561889233384
HSPG2,0.0625946119906497,0.05448601554921659
RNMT,0.0063383120264819,0.009306038354882029
ZNF99,0.0344469566868006,0.01457910646733438
ORAOV1,0.0025837625751908,0.0015364940660823354
WDYHV1,0.0055998478834747,0.008265962533811561
ARHGAP5,0.0140007656439824,0.016777924032708974
HDAC10,0.0075692242265804,0.02298195170911445
PROKR1,0.0179744517862688,0.008175159764111591
ADAMTS7,0.0206594706963806,0.012608946257823567
KIAA1586,0.0087204603466739,0.0032153571382940293
AFG3L2,0.0092719331002445,0.012022459951527311
ADPRHL2,0.0040190566957815,0.0018333604680377342
MROH2B,0.0707923400974645,0.0224061960503035
PEF1,0.0056232776318639,0.009372630842322673
ATP8A2,0.0314367264409599,0.014598715438055375
NLN,0.0096372246950561,0.009145898366551013
MAP2,0.0566925061170417,0.02339296135156984
CENPK,0.0050168879867536,0.010523981861598255
MYLK,0.0400068866467806,0.02296621395797105
ARMC3,0.0218191431581205,0.0070124848070581185
DNAJB9,0.0045207167182348,0.009730588589118157
DPH7,0.0060585098118666,0.0039175134833465425
SRRM4,0.0194074607727555,0.0065349509589320495
DHRS7B,0.003168634216877,0.005096649268027045
RBL2,0.0196393063353665,0.022810452513255808
SLC22A5,0.006392718723727,0.012235618001970965
LRP1B,0.2310552700631438,0.0846967218020934
CDHR5,0.0147182077050761,0.008434495693463027
DOCK11,0.0366634855088244,0.0205262074176611
NKTR,0.0218546540486396,0.015419660175636486
AGMO,0.0162322886883411,0.008064386582748842
OR2F1,0.0113944455681919,0.009527678805568564
SH2D2A,0.0091569507372813,0.008176955208670723
CDH11,0.0407436934547817,0.02326830925786013
SCML2,0.0151893261201716,0.010338616229222077
OSBPL9,0.0065325296411928,0.009148038041540315
