,RawScore,MutRate,ScoreAfterNP,Predicted by MutNet,Predicted by MutRate,Predicted by ActiveDriver,Predicted by MutSigCV,Predicted by MuSiC,Predicted by OncodriveCLUST,Predicted by OncodriveFM,Predicted by OncodriveFML,Predicted by TUSON,Predicted by 2020+,Predicted by EMOGI,Predicted by HotNet,Predicted by OMEN,Collect by Cancer Gene Cosmic,Collect by OncoKB,Collect by Cancer Gene (q<0.25),Collect by KEGG cancer pathway,Community
SCN1A,0.06882492762233344,0.031328954017180395,0.037805752122607034,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
ADCY3,0.023356304230354185,0.010358767054067712,0.03092286332849928,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1
CACNA1D,0.03914549645148889,0.017433046993431026,0.031887107106387286,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,1
NALCN,0.07549636895015459,0.034487114704396166,0.03814266847959537,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,1
PLA2G4A,0.02433497450972161,0.0107377463365336,0.024640409277156692,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
SCN8A,0.031054296175080806,0.01389590702374937,0.026187483841223068,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1
TRPA1,0.03838684525020483,0.016927741283476502,0.023805193255917602,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
SPTBN5,0.03682211791113968,0.016422435573521982,0.030084583458394563,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
NOS3,0.02687219353743876,0.011874684183931278,0.024939700816475775,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1
SPTAN1,0.041607166579724034,0.01806467913087418,0.04979161556425249,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,1
NRCAM,0.02785287769969321,0.0123799898938858,0.02281797076434073,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
SCN10A,0.07101799027300823,0.032465891864578066,0.03810746988728487,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,1
NFASC,0.04323461113612193,0.019201616978271854,0.026335615069828136,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
PPP1R9A,0.030501003830684745,0.014274886306215259,0.02922427890926993,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
PLCB1,0.04391061603508566,0.019706922688226373,0.03445263556848808,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,1
RYR3,0.13037997966676546,0.0606366851945427,0.05570068627340859,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,1
ADCY1,0.03373719599268125,0.014906518443658413,0.030770860188134387,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1
PRKCG,0.02767852782057836,0.01225366346639717,0.0243048067735096,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,1
SPTBN1,0.03653802231917608,0.01629610914603335,0.046818726737951,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1
RYR2,0.21264637877973647,0.09866093986862053,0.08491104773221185,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,1
PTCH1,0.0407948236180422,0.017812026275896918,0.029500268240541107,True,True,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,1
ADCY5,0.03237988150851411,0.014401212733703891,0.031963409106899945,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
ANK1,0.0558099475570169,0.025138959070237492,0.03640860520835065,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,1
GRM1,0.05832542782750015,0.02589691763516928,0.03226741894965879,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,1
RYR1,0.13252710723573505,0.060005053057099536,0.061832780215852326,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,1
SPTB,0.05534446944570736,0.02438100050530571,0.034920338303277815,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1
SCN7A,0.043596951713372516,0.019580596260737743,0.02572418273865253,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
ADCY8,0.06580281375377824,0.029686710459828194,0.04105147578663168,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1
ABCC9,0.057704919582775224,0.02564426478019201,0.02811078709383462,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
CACNA1C,0.06853199084095271,0.030570995452248614,0.04269136080904302,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,1
CACNA1E,0.09344365914110524,0.04295098534613441,0.04294711646703468,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,1
CACNA1H,0.030911565813673176,0.014022233451238,0.025581049466836557,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
SCN9A,0.05016714411159602,0.022612430520464882,0.03314551105714826,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,1
SLC8A1,0.050838652451990485,0.022738756947953517,0.02715119706103236,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,1
SCN11A,0.06048326723081957,0.027160181910055585,0.032302497203836544,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
UNC79,0.06550043467429223,0.03031834259727135,0.02680677718058113,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
TRPC3,0.02632553697354488,0.011748357756442649,0.02669945995749832,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
SCN4A,0.045389443006711036,0.02008590197069227,0.028961272905416155,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
PLCE1,0.044878444865484056,0.020591207680646796,0.025041279041741225,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1
PRKCB,0.03219919757042355,0.014148559878726631,0.031818056288897015,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,1
PTPRM,0.035274215400952394,0.01629610914603335,0.024296158069575503,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,2
GRIA2,0.0423255191534568,0.018822637695805958,0.0325960097974452,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
PTPRS,0.02784914329688584,0.01263264274886306,0.0349824837191115,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,2
PPFIA1,0.02644220242204151,0.011748357756442649,0.026254740806554315,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,2
AQR,0.023095209613004927,0.01023244062657908,0.02485127326019328,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2
PTPRK,0.033197465065112584,0.015159171298635674,0.03518396471804375,True,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,False,2
GRIA1,0.04855583381759672,0.02160181910055584,0.03963487396816494,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
DLG2,0.02982639276166662,0.013643254168772108,0.04447980633198117,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2
GRIN2A,0.07792121147114157,0.03486609398686205,0.04172039499597302,True,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,2
SHANK1,0.03620422873258019,0.01654876200101061,0.03983907063921014,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2
GPATCH8,0.023225434070876246,0.010864072764022232,0.02582982934682338,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
CNTRL,0.023151443108052186,0.01023244062657908,0.02672200308588825,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,2
NLGN1,0.034367366607652265,0.015538150581101568,0.024542308053517568,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
GRIP1,0.02342759617509092,0.01048509348155634,0.022705369509723818,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,2
MXRA5,0.06840754276661389,0.03221323900960081,0.02738208271000711,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
IGSF10,0.0548659927036157,0.025517938352703384,0.023428876102676226,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2
NRXN1,0.08252343135687877,0.03827690752905508,0.04706762246043352,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
LRRC7,0.07134966706356333,0.03221323900960081,0.04230727786317556,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
LRRC4C,0.04329189301207458,0.02046488125315816,0.023357013870311867,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
LRRK1,0.03317538032696732,0.015411824153612938,0.0403207829724701,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
PTPRT,0.08468974202886992,0.039540171803941385,0.03948945783291531,True,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,2
HFM1,0.03034373690908437,0.014780192016169784,0.026493131128502267,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
NTNG1,0.02334893351523063,0.010864072764022232,0.0283190155305885,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
PRPF8,0.03353368022782045,0.015285497726124303,0.047512400181563635,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,2
SHANK2,0.035275339883482124,0.016169782718544717,0.03493610583691182,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
GRIN2B,0.06779814415849852,0.030570995452248614,0.047643991974894585,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2
LRRIQ1,0.05270715192700839,0.024886306215260237,0.028003711795433383,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
PTPRF,0.03590591469064588,0.01629610914603335,0.03566004463444982,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2
NRXN3,0.055019512334363765,0.024759979787771603,0.037071618912382975,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2
SRRM2,0.046624047345982564,0.02160181910055584,0.03733893423528794,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2
GRIK3,0.03895352377683937,0.017433046993431026,0.022367466697371226,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
SLIT3,0.04638452637338196,0.021096513390601312,0.036068214669835334,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
GRIA4,0.03329996768079964,0.014906518443658413,0.02479254994154013,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
SLIT2,0.0571426856355559,0.026149570490146542,0.034779518527214504,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
SF3B1,0.043105749718673855,0.018948964123294592,0.04474847912109682,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,2
NWD1,0.034685258615191915,0.017180394138453764,0.03347593991089316,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
RASGRF1,0.031343362802737924,0.01389590702374937,0.023742531953515767,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,2
LRFN5,0.05507308390963659,0.025517938352703384,0.024238902098774846,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
EPB41L3,0.047440790411404914,0.02084386053562405,0.03139430541350108,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,2
GRIK2,0.04204742240107712,0.018822637695805958,0.02658645805160155,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
PTPRD,0.07990206622552291,0.03663466397170288,0.05205974867290947,True,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,2
GRID2,0.051642328120979464,0.023875694795351187,0.025710732486609246,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
SNRNP200,0.032071913014284005,0.014527539161192522,0.0373132578031089,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
ASCC3,0.031215114918241926,0.014401212733703891,0.029296292364169838,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2
NRXN2,0.03403525223395566,0.015538150581101568,0.03292767975218044,True,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,2
PTPRC,0.0430252712622572,0.019706922688226373,0.0317126496137268,True,True,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,2
VAV3,0.0233348352780728,0.01010611419909045,0.027346592227546162,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
FLNA,0.042075681912420684,0.01869631126831733,0.05428468306158375,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,3
FLT4,0.035801612890799736,0.015790803436078832,0.027684245955921928,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,3
RASGRF2,0.029367533122065168,0.013137948458817585,0.026041241294826416,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3
INSR,0.02867471901934573,0.01263264274886306,0.02880435277250425,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,3
DOCK1,0.030410228209578862,0.013390601313794845,0.03343279918685293,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3
PIK3CB,0.02275720586532369,0.01010611419909045,0.05073144448187247,True,True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,3
KRAS,0.14443074229422162,0.061394643759474475,0.14854441438216678,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
TIAM2,0.03593419572718285,0.01591712986356746,0.025828242155328637,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,3
KIT,0.029510125390367813,0.012885295603840323,0.026130796480668843,True,True,True,False,True,False,False,False,False,False,True,True,False,True,True,True,True,3
NTRK1,0.031064868438803187,0.013643254168772108,0.04209618714847835,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,3
RASA1,0.02457818032171764,0.01048509348155634,0.02507148288283753,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,3
CYFIP2,0.027904500646683303,0.0123799898938858,0.024781625741564284,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3
PLXNA1,0.03381684726625511,0.015159171298635674,0.028569348556480176,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3
MLLT4,0.02937131632743893,0.013264274886306215,0.02266972092464108,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,3
SDK2,0.04074647832699062,0.018569984840828703,0.03225046921400405,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3
LRRK2,0.060403974599774014,0.029181404749873675,0.1503328318811031,True,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,3
TYK2,0.027477545249588342,0.012001010611419907,0.028350595803522026,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,3
CFTR,0.035293542631010234,0.015664477008590198,0.04346782765983002,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3
FGFR2,0.028273913811648326,0.012001010611419907,0.030437164315686507,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,3
CYFIP1,0.02304942140139139,0.01010611419909045,0.02777445452965055,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
EPHA3,0.06019681164114225,0.026907529055078323,0.03095946302158054,True,True,False,False,True,False,True,False,False,False,True,True,False,True,True,False,False,3
PLXNB1,0.02505271180514053,0.010990399191510864,0.023863313324828245,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
TIAM1,0.050435588121175136,0.022359777665487617,0.03849660894062578,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,3
PLXNA3,0.0338069520862471,0.015032844871147043,0.025286768211523283,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3
EGFR,0.07909259130710831,0.033602829711975736,0.1141540159372465,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,3
ROS1,0.05593270049051322,0.02564426478019201,0.03496991626295835,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,3
